field_1,key,scientificName,issues,datasetKey,publishingOrgKey,networkKeys,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,elevation,continent,stateProvince,year,month,day,eventDate,startDayOfYear,endDayOfYear,lastInterpreted,license,isSequenced,identifier,facts,relations,institutionKey,collectionKey,isInCluster,datasetID,datasetName,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,gbifRegion,country,publishedByGbifRegion,rightsHolder,recordNumber,identifier.1,nomenclaturalCode,locality,gbifID,language,collectionCode,occurrenceID,type,taxonID,catalogNumber,vernacularName,organismID,institutionCode,ownerInstitutionCode,accessRights,collectionID,name,lifeStage,habitat,individualCount,elevationAccuracy,recordedBy,preparations,institutionID,verbatimEventDate,municipality,county,verbatimCoordinateSystem,disposition,eventTime,dateIdentified,coordinateUncertaintyInMeters,modified,references,identifiedBy,http...unknown.org.nick,informationWithheld,verbatimLocality,http...unknown.org.captive_cultivated,occurrenceRemarks,identificationID,sex,identifiedByIDs.type,identifiedByIDs.value,dynamicProperties,vitality,higherGeography,georeferencedDate,georeferenceProtocol,georeferenceVerificationStatus,georeferenceSources,georeferenceRemarks,coordinatePrecision,georeferencedBy,otherCatalogNumbers,fieldNumber,higherGeographyID,identificationRemarks,verbatimElevation,higherClassification,projectId,establishmentMeans,locationRemarks,recordedByIDs.type,recordedByIDs.value,organismQuantity,organismQuantityType,bibliographicCitation,locationAccordingTo,previousIdentifications,waterBody,distanceFromCentroidInMeters,http...unknown.org.license,parentNameUsage,materialEntityID,source,GID_1,GID_0,COUNTRY_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,x,y
"152",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2880",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.91241,-1.12752
"153",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2971",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.91224,-1.1275
"154",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2975",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.91183,-1.12764
"155",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2976",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.90865,-1.12905
"156",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2976",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.90733,-1.13018
"157",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2976",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.90551,-1.13063
"158",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2962",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.90468,-1.13092
"159",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2963",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.90389,-1.13093
"160",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2970",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.90364,-1.13116
"161",NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2985",NA,Cotopaxi,NA,NA,NA,08/12/21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ECU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://peerj.com/articles/17344/#supp-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,df1,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,"5",EC.CT,EC-X,-78.90329,-1.13114
