gbifID,accessRights,scientificName,eventDate,decimalLatitude,decimalLongitude,elevation,countryCode,basisOfRecord,coordinateUncertaintyInMeters,institutionCode
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",01/05/22,-1.12955,-78.90615,2918,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",03/05/22,-1.12853,-78.90935,2920,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",03/05/22,-1.13123,-78.90389,2960,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",05/05/22,-1.13344,-78.93416,2664,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",06/05/22,-1.13766,-78.88346,3313,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",07/05/22,-1.13335,-78.93409,2670,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",07/05/22,-1.13374,-78.93411,2643,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",02/06/22,-1.13106,-78.90405,2976,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",02/06/22,-1.12747,-78.91016,2870,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",03/06/22,-1.12519,-78.91518,2820,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",06/06/22,-1.13132,-78.90319,2990,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",07/20/22,-1.13134,-78.90374,2938,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",10/24/22,-1.12743,-78.90921,2869,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",10/24/22,-1.13037,-78.90349,2994,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",10/24/22,-1.12703,-78.90886,2893,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",10/24/22,-1.12726,-78.90909,2879,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",10/28/22,-1.12668,-78.9087,2910,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",10/28/22,-1.12743,-78.90921,2869,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",11/21/22,-1.13347,-78.9341,2662,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",12/15/22,-1.12716,-78.90919,2884,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",12/15/22,-1.12595,-78.91273,2840,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",12/16/22,-1.13347,-78.9341,2662,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",12/17/22,-1.13242,-78.92892,2650,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",12/17/22,-1.1325,-78.92889,2657,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",12/17/22,-1.1326,-78.92886,2664,,,NA,
NA,https://peerj.com/articles/17344/#supp-2,"Atelopus ignescens (Cornalia, 1849)",12/18/22,-1.12925,-78.92314,2783,,,NA,
