field_1,key,scientificName,issues,datasetKey,publishingOrgKey,networkKeys,installationKey,hostingOrganizationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,elevation,continent,stateProvince,year,month,day,eventDate,startDayOfYear,endDayOfYear,lastInterpreted,license,isSequenced,identifier,facts,relations,institutionKey,collectionKey,isInCluster,datasetID,datasetName,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,gbifRegion,country,publishedByGbifRegion,rightsHolder,recordNumber,identifier.1,nomenclaturalCode,locality,gbifID,language,collectionCode,occurrenceID,type,taxonID,catalogNumber,vernacularName,organismID,institutionCode,ownerInstitutionCode,accessRights,collectionID,name,lifeStage,habitat,individualCount,elevationAccuracy,recordedBy,preparations,institutionID,verbatimEventDate,municipality,county,verbatimCoordinateSystem,disposition,eventTime,dateIdentified,coordinateUncertaintyInMeters,modified,references,identifiedBy,http...unknown.org.nick,informationWithheld,verbatimLocality,http...unknown.org.captive_cultivated,occurrenceRemarks,identificationID,sex,identifiedByIDs.type,identifiedByIDs.value,dynamicProperties,vitality,higherGeography,georeferencedDate,georeferenceProtocol,georeferenceVerificationStatus,georeferenceSources,georeferenceRemarks,coordinatePrecision,georeferencedBy,otherCatalogNumbers,fieldNumber,higherGeographyID,identificationRemarks,verbatimElevation,higherClassification,projectId,establishmentMeans,locationRemarks,recordedByIDs.type,recordedByIDs.value,organismQuantity,organismQuantityType,bibliographicCitation,locationAccordingTo,previousIdentifications,waterBody,distanceFromCentroidInMeters,http...unknown.org.license,parentNameUsage,materialEntityID,source,GID_1,GID_0,COUNTRY_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,x,y
40,4912517801,"Atelopus ignescens (Cornalia, 1849)","cdc,conti,gass84,gdativ",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:17.980+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Cotopaxi,1980,1,1,01/01/1980,1,1,2025-11-25T15:52:17.980+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA15145,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,EP443(962),QCAZA15145,NA,Latacunga,4912517801,es,QCAZA,QCAZA15145,PhysicalObject,ec.bio.spp.43074,QCAZA15145,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,Mónica Guerra|R. Narváex|Admin,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,NA,NA,NA,"ECUADOR: Cotopaxi: Latacunga.   Latitud: -1,6284999999999998366 Longitud: -77,909666666666694823",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,5,EC.CT,EC-X,-78.61782,-0.9301
41,543498989,"Atelopus ignescens (Cornalia, 1849)",gass84,cece4fc2-1fec-4bb5-a335-7252548e3f0b,66522820-055c-11d8-b84e-b8a03c50a862,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,a43950ae-eb88-4ef4-bfff-43bcf12885ad,66522820-055c-11d8-b84e-b8a03c50a862,US,EML,2025-11-18T14:08:07.036+00:00,2025-11-25T14:49:20.524+00:00,431,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,3320,SOUTH_AMERICA,Cotopaxi Prov.,1980,4,2,02/04/1980,93,93,2025-11-25T14:49:20.524+00:00,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,urn:catalog:CAS:HERP:152054,none,none,d2a27206-87ab-47ea-b5fc-d2e57054b688,ba09c323-3cf8-4e82-900f-23f2bdb46f17,FALSE,NA,NA,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,NA,JES-1369,urn:catalog:CAS:HERP:152054,NA,Ca Parque Nacional de Cotopoxi,543498989,NA,HERP,urn:catalog:CAS:HERP:152054,NA,NA,152054,NA,NA,CAS,NA,NA,http://grscicoll.org/institutional-collection/herpetology-0,"Atelopus ignescens (Cornalia, 1849)",NA,Under rocks and crawling about paramo by day.,NA,NA,"J.E. Simmons, C. Galarza, R. Galarza, S. Galarza, G. Barcia",Alcohol,http://grbio.org/institution/california-academy-sciences,02-Apr-80,NA,NA,DD,NA,NA,NA,10157,2024-01-04T14:21:00.000+00:00,NA,NA,NA,NA,"Ecuador: Cotopoxi Prov: ca. Parque Nacional de Cotopoxi, +/- 3320 m",NA,NA,NA,NA,NA,NA,NA,NA,South America; Ecuador; Cotopaxi Prov.,NA,NA,NA,Rand McNally New Millenium Atlas,NA,NA,NA,NA,NA,NA,NA,ca 3320 m,Animalia; Chordata; Amphibia; Anura; Bufonidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.6_1,ECU,Ecuador,Cotopaxi,NA,NA,Provincia,Province,5,EC.CT,EC-X,-78.471,-0.643
42,1987035495,"Atelopus ignescens (Cornalia, 1849)","cdc,conti",8e479b8f-ac16-4bed-a11a-bc7e27c31663,6ea87510-0561-11d8-b851-b8a03c50a862,"8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",cfbb523a-883c-48db-8258-dcfe32b11d64,a5486e02-d249-4809-9273-deac47fb11e0,US,EML,2026-02-02T21:21:58.032+00:00,2026-02-02T22:12:33.089+00:00,475,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Napo,1980,4,14,14/04/1980,105,105,2026-02-02T22:12:33.089+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,0cebfc12-3185-43bf-a5cb-e4bbf47c706d,none,none,2a508411-2acd-45df-8a8b-00094ac65f87,93b0c64c-ff9d-429b-81ca-ad651820ce66,FALSE,NA,"University of Michigan Museum of Zoology, Division of Reptiles & Amphibians",WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,The Regents of the University of Michigan,NA,0cebfc12-3185-43bf-a5cb-e4bbf47c706d,NA,6.2 KM BY ROAD W OF PAPALLACTA ELEV 3600 M,1987035495,en,Herps,0cebfc12-3185-43bf-a5cb-e4bbf47c706d,PhysicalObject,NA,172161,NA,NA,UMMZ,NA,NA,NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,3,NA,R S VOSS,FLUID - 3,http://grbio.org/cool/ra64-3eva,NA,NA,NA,NA,in collection,NA,NA,3036,2016-12-25T11:45:38.000+00:00,NA,NA,NA,NA,NA,NA,SMALL BLACK TADPOLES,NA,NA,NA,NA,NA,NA,"ECUADOR, NAPO",03/05/2016,Geolocate Web,NA,NA,NA,NA,Helen Huetteman,NA,A15,NA,NA,NA,NA,NA,NA,PLACED MARKER CORRECT DISTANCE W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.16_1,ECU,Ecuador,Napo,NA,NA,Provincia,Province,15,EC.NA,EC-N,-78.170856,-0.377439
43,686899854,"Atelopus ignescens (Cornalia, 1849)",,dce00a1f-f6b4-4e11-9771-92c62c40ad80,b554c320-0560-11d8-b851-b8a03c50a862,"8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",c7b49e46-602a-4172-98d2-6b027c6b049f,b554c320-0560-11d8-b851-b8a03c50a862,US,EML,2025-12-01T19:54:52.463+00:00,2025-12-01T20:04:03.370+00:00,484,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Bolivar,1980,6,NA,1980-06,NA,NA,2025-12-01T20:04:03.370+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,bdec3156-b069-11e3-8cfe-90b11c41863e,none,none,49fb6451-91b7-4af2-8cd3-354539a77589,04e4cd0c-fea1-47a9-bed4-e318c748719f,FALSE,NA,University of Kansas Biodiversity Institute Herpetology Collection,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,NA,NA,bdec3156-b069-11e3-8cfe-90b11c41863e,NA,ca Guaranda,686899854,NA,KUH,bdec3156-b069-11e3-8cfe-90b11c41863e,NA,NA,193267,NA,NA,KU,NA,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,ETOH,http://grbio.org/cool/iakn-125z,NA,NA,NA,NA,NA,NA,NA,NA,2004-02-25T03:13:28.000+00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador, Bolivar",23/09/2003,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,Unverified,Alexandria Digital Library,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.2_1,ECU,Ecuador,Bolivar,NA,NA,Provincia,Province,2,EC.BO,EC-B,-79,-1.6
44,4912507958,"Atelopus ignescens (Cornalia, 1849)","cdc,conti,rdativ",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:16.535+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Pichincha,1979,1,11,11/01/1979,11,11,2025-11-25T15:52:16.535+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA24927,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,EP444,QCAZA24927,NA,Cráter de Pasochoa,4912507958,es,QCAZA,QCAZA24927,PhysicalObject,ec.bio.spp.43074,QCAZA24927,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,Pablo Menéndez|Luis Coloma|Admin,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,Luis Coloma,NA,NA,"ECUADOR: Pichincha: Pasochoa, cráter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.19_1,ECU,Ecuador,Pichincha,NA,NA,Provincia,Province,17,EC.PI,EC-P,-78.48,-0.465
45,657482500,"Atelopus ignescens (Cornalia, 1849)",,7a25f7aa-03fb-4322-aaeb-66719e1a9527,493fe050-055d-11d8-b84f-b8a03c50a862,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,a957a663-2f17-415f-b1c8-5cf6398df8ed,2053a639-84c3-4be5-b8bc-96b6d88a976c,US,EML,2025-11-18T14:07:53.078+00:00,2025-11-25T16:23:07.038+00:00,404,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,3598,SOUTH_AMERICA,Pichincha,1979,2,22,22/02/1979,53,53,2025-11-25T16:23:07.038+00:00,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,b61776f5-5274-4f07-9561-d47fcd90140b,none,none,2fc908ba-e775-49e2-bffe-6b9041c3b70f,8fe11fb0-4836-4ba9-8c0e-ee6540cb54c9,FALSE,NA,LACM Vertebrates,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,NA,USC 4019,b61776f5-5274-4f07-9561-d47fcd90140b,ICZN,"18.7 km W Papallacta (by rd), Paramo, Loc.10",657482500,en,Herps,b61776f5-5274-4f07-9561-d47fcd90140b,PhysicalObject,NA,140021,NA,NA,LACM,NA,http://vertnet.org/resources/norms.html,https://scientific-collections.gbif.org/collection/8fe11fb0-4836-4ba9-8c0e-ee6540cb54c9,"Atelopus ignescens (Cornalia, 1849)",NA,NA,1,0,via Holly Starrett,NA,https://scientific-collections.gbif.org/institution/2fc908ba-e775-49e2-bffe-6b9041c3b70f,NA,NA,NA,degrees minutes seconds,NA,NA,NA,NA,2025-07-01T00:00:00.000+00:00,http://portal.vertnet.org/o/lacm/herps?id=b61776f5-5274-4f07-9561-d47fcd90140b,Juan P. Ramirez,NA,NA,"| South America | Ecuador | Pichincha |  |   18.7 km W Papallacta (by rd), Paramo, Loc.10",NA,"stream flow below surface and on surface.  ID updated by Juan P. Ramirez San Diego State University (02/06/2024) from Atelopus sp. to Atelopus ignescens.  ID justification: Identified as this species using Peters (1973)´s key, with spiculae on the chest and posterior throat forming a ~upside down triangle shape, uniform black dorsum, flanks with large round tubercles with coni.  ID reference: Peters JA (1973) The frog genus Atelopus in Ecuador (Anura, Bufonidae). Smithsonian Contributions in Zoology 145: 1–4.",NA,NA,NA,NA,NA,NA,South America|Ecuador|Pichincha,NA,VertNet Georeferencing Guidelines,NA,NA,NA,NA,NA,NA,NA,NA,NA,3598,Animalia | Chordata | Amphibia | Anura | Bufonidae | Atelopus,NA,native,NA,NA,NA,1,individuals,b61776f5-5274-4f07-9561-d47fcd90140b. LACM Vertebrates. http://ipt.vertnet.org:8080/ipt/resource.do?r=lacm_verts.,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.19_1,ECU,Ecuador,Pichincha,NA,NA,Provincia,Province,17,EC.PI,EC-P,-78.23,-0.3
46,1320875971,"Atelopus ignescens (Cornalia, 1849)","gass84,gdativ,osiic",821cc27a-e3bb-4bc5-ac34-89ada245069d,bc092ff0-02e4-11dc-991f-b8a03c50a862,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,b2ff19b5-d74f-40d2-82f1-ec5db01e8e31,bc092ff0-02e4-11dc-991f-b8a03c50a862,US,EML,2026-02-02T11:12:59.046+00:00,2026-02-04T16:44:21.454+00:00,493,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,3631,SOUTH_AMERICA,Pichincha,1979,2,22,22/02/1979,53,53,2026-02-04T16:44:21.454+00:00,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,http://n2t.net/ark:/65665/3a27a7e03-4809-436b-a58c-6d5831b66e2b,none,none,586ee56e-b0fe-4dff-b7f9-aeb104f3308a,f34f47db-05bd-4cb7-9d43-691f029b68cc,FALSE,NA,NMNH Extant Biology,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,NA,NA,http://n2t.net/ark:/65665/3a27a7e03-4809-436b-a58c-6d5831b66e2b,NA,"Papallacta, 18.7 km (by road) W of",1320875971,NA,HERP,http://n2t.net/ark:/65665/3a27a7e03-4809-436b-a58c-6d5831b66e2b,NA,NA,USNM 286052,NA,NA,USNM,NA,NA,urn:uuid:cc104cbf-fd8e-4801-9b71-36731a7db1a0,"Atelopus ignescens (Cornalia, 1849)",NA,NA,1,0,NA,Ethanol,urn:lsid:biocol.org:col:34871,22 Feb 1979; 15:00 hrs,NA,NA,NA,NA,NA,NA,2394,2023-07-05T15:13:00.000+00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America, Ecuador, Pichincha",NA,"Map SA17-4 (Quito) map 1:250,000. IGM Ecuador, MaNIS/HerpNET/ORNIS Georeferencing Guidelines",NA,NA,Locality extent = 2,NA,NA,NA,NA,NA,NA,3631 m,"Animalia, Chordata, Vertebrata, Amphibia, Anura, Bufonidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.19_1,ECU,Ecuador,Pichincha,NA,NA,Provincia,Province,17,EC.PI,EC-P,-78.2331,-0.3
47,4912507960,"Atelopus ignescens (Cornalia, 1849)","cdc,conti,gass84,gdativ",7b20c426-defe-45ff-82a2-bb00141e1e8f,e62f0c10-13a1-4306-bdad-1e0a4c27d0d0,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,9df8109c-684d-416b-819b-7bc09adc500b,c54097e6-0972-4acb-b849-eaeba29c917d,EC,EML,2025-11-21T17:17:51.877+00:00,2025-11-25T15:52:16.536+00:00,15,MATERIAL_SAMPLE,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,4200,SOUTH_AMERICA,Napo,1979,4,15,15/04/1979,105,105,2025-11-25T15:52:16.536+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,QCAZA24925,none,none,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,ab011792-e14a-4040-bf6e-04e2820bebad,FALSE,doi:10.60545/ejgu3c,Bioweb,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,LATIN_AMERICA,Museo de Zoología QCAZ,EP397,QCAZA24925,NA,Páramo del Antisana,4912507960,es,QCAZA,QCAZA24925,PhysicalObject,ec.bio.spp.43074,QCAZA24925,Jambato toad,NA,QCAZ,QCAZ,NA,ab011792-e14a-4040-bf6e-04e2820bebad,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,0,Pablo Menéndez|Luis Coloma|Eduardo Asanza|Admin,NA,1f33a2dd-ea62-4da3-b6f3-6fc19d259c99,NA,NA,NA,NA,En colección,00:00,NA,NA,NA,NA,Luis Coloma,NA,NA,ECUADOR: Napo: Páramo del Antisana.  Altitud: 4200msnm -,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.16_1,ECU,Ecuador,Napo,NA,NA,Provincia,Province,15,EC.NA,EC-N,-78.20166,-0.494659
48,686885050,"Atelopus ignescens (Cornalia, 1849)","gass84,gdativ",dce00a1f-f6b4-4e11-9771-92c62c40ad80,b554c320-0560-11d8-b851-b8a03c50a862,"8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",c7b49e46-602a-4172-98d2-6b027c6b049f,b554c320-0560-11d8-b851-b8a03c50a862,US,EML,2025-12-01T19:54:52.463+00:00,2025-12-01T20:04:12.023+00:00,484,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Chimborazo,1978,1,8,08/01/1978,8,8,2025-12-01T20:04:12.023+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,bd1581da-b069-11e3-8cfe-90b11c41863e,none,none,49fb6451-91b7-4af2-8cd3-354539a77589,04e4cd0c-fea1-47a9-bed4-e318c748719f,FALSE,NA,University of Kansas Biodiversity Institute Herpetology Collection,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,NA,NA,bd1581da-b069-11e3-8cfe-90b11c41863e,NA,3 km S Guamote,686885050,NA,KUH,bd1581da-b069-11e3-8cfe-90b11c41863e,NA,NA,178361,NA,NA,KU,NA,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,ETOH,http://grbio.org/cool/iakn-125z,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-28T12:49:15.000+00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecuador, Chimborazo",27/09/2004,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,Unverified,"Mapa Geografico del Ecuador 1:500,000; IGM Ecuador",assumed on road to Alausi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.5_1,ECU,Ecuador,Chimborazo,NA,NA,Provincia,Province,6,EC.CB,EC-H,-78.7,-1.95
49,686886973,"Atelopus ignescens (Cornalia, 1849)","cdround,gass84,gdativ",dce00a1f-f6b4-4e11-9771-92c62c40ad80,b554c320-0560-11d8-b851-b8a03c50a862,"8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e",c7b49e46-602a-4172-98d2-6b027c6b049f,b554c320-0560-11d8-b851-b8a03c50a862,US,EML,2025-12-01T19:54:52.463+00:00,2025-12-01T20:04:10.882+00:00,484,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Chimborazo,1978,1,9,09/01/1978,9,9,2025-12-01T20:04:10.882+00:00,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,bd302f0c-b069-11e3-8cfe-90b11c41863e,none,none,49fb6451-91b7-4af2-8cd3-354539a77589,04e4cd0c-fea1-47a9-bed4-e318c748719f,FALSE,NA,University of Kansas Biodiversity Institute Herpetology Collection,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,NA,NA,bd302f0c-b069-11e3-8cfe-90b11c41863e,NA,7.9 km W (by road) San Juan,686886973,NA,KUH,bd302f0c-b069-11e3-8cfe-90b11c41863e,NA,NA,180276,NA,NA,KU,NA,http://biodiversity.ku.edu/research/university-kansas-biodiversity-institute-data-publication-and-use-norms,NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,NA,NA,NA,formalin,http://grbio.org/cool/iakn-125z,NA,NA,NA,NA,NA,NA,NA,NA,2025-11-19T15:13:11.000+00:00,NA,NA,NA,NA,NA,NA,NA,NA,Indeterminate,NA,NA,NA,NA,"Ecuador, Chimborazo",27/09/2004,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,Unverified,"Mapa Geografico del Ecuador 1:500,000; IGM Ecuador",assumed on road to Guaranda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.5_1,ECU,Ecuador,Chimborazo,NA,NA,Provincia,Province,6,EC.CB,EC-H,-78.833333,-1.633333
50,476610951,"Atelopus ignescens (Cornalia, 1849)","colmafu,inmafu",4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,b4640710-8e03-11d8-b956-b8a03c50a862,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,b0f5183c-5ed0-47f4-b75f-65e0c1036cb5,b4640710-8e03-11d8-b956-b8a03c50a862,US,EML,2026-02-14T04:15:57.463+00:00,2026-02-14T04:49:53.865+00:00,704,PRESERVED_SPECIMEN,PRESENT,5216669,1,44,131,952,6727,2422265,5216669,5216669,"Atelopus ignescens (Cornalia, 1849)",Animalia,Chordata,Anura,Bufonidae,Atelopus,Atelopus ignescens,Atelopus,ignescens,SPECIES,ACCEPTED,CR,NA,SOUTH_AMERICA,Napo,1978,4,9,09/04/1978,99,99,2026-02-14T04:49:53.865+00:00,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,MCZ:Herp:A-95679,none,none,1cfca87c-083e-4d67-8e60-cb7d311f6058,b2a3198c-ca1b-40e5-890f-46b4021d623b,FALSE,NA,NA,WGS84,Amphibia,ECU,none,none,LATIN_AMERICA,Ecuador,NORTH_AMERICA,President and Fellows of Harvard College,NA,MCZ:Herp:A-95679,ICZN,25.8 km E Pifo on rd to Coca,476610951,NA,Herp,MCZ:Herp:A-95679,NA,NA,A-95679,NA,NA,MCZ,"Museum of Comparative Zoology, Harvard University",NA,NA,"Atelopus ignescens (Cornalia, 1849)",NA,NA,1,NA,Kenneth I. Miyata,whole animal (ethanol),b4640710-8e03-11d8-b956-b8a03c50a862,9/4/1978-9/4/1978,NA,NA,decimal degrees,in collection,NA,NA,5165,2024-12-20T16:10:47.000+00:00,http://mczbase.mcz.harvard.edu/guid/MCZ:Herp:A-95679,Catalog,NA,NA,Ecuador: Napo: 25.8 km. E. Pifo on rd to Coca,NA,NA,NA,NA,NA,NA,NA,NA,South America: Ecuador: Napo,NA,MaNIS/HerpNET/ORNIS Georeferencing Guidelines,unverified,"Map SA17-4 (Quito) map 1:250,000. IGM Ecuador",NA,1.00E-05,Elisa Bonaccorso,field number=MCZ FS-86282|muse location number=ZA95679,MCZ FS-86282,http://vocab.getty.edu/tgn/1001446,NA,NA,Animalia Chordata Amphibia Lissamphibia Anura Bufonoidea Bufonidae Atelopus ignescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbif,ECU.16_1,ECU,Ecuador,Napo,NA,NA,Provincia,Province,15,EC.NA,EC-N,-78.19392,-0.3687
